uid,name,vendor_name,address,latitude,longitude,city,country,open,close,logo_url,staff,payment_modes,contact_numbers,station_type,postal_code,zone,0,available,capacity,cost_per_unit,power_type,total,type,vehicle_type,duration
REVBOLT_00021138,REVOS,REVOS,A BLOCK DABUL STORY BACK SIDE A1,28.54460391783957,77.2509103640914,New Delhi,India,2025-04-26 00:00:00,2025-04-26 00:00:00,https://ev.delhitransport.in/static/logo/revos.png,unstaffed,UPI,"[""+919811631923""]",charging,110019,south-delhi,,1.0,3.3,₹0 per unit,AC,1.0,5A/15A Socket,"['2W', '3W']",0 days 00:00:00
REVBOLT_00016150,REVOS,REVOS,B1/ 74 SEWAK PARK,28.61505967870297,77.03256513923407,New Delhi,India,2025-04-26 00:00:00,2025-04-26 00:00:00,https://ev.delhitransport.in/static/logo/revos.png,unstaffed,UPI,"[""+919560440632""]",charging,110078,west-delhi,,1.0,3.3,₹0 per unit,AC,1.0,5A/15A Socket,"['2W', '3W']",0 days 00:00:00
REVBOLT_00021928,REVOS,REVOS,dwarka sector12,28.59602781322513,77.04653710126878,New Delhi,India,2025-04-26 00:00:00,2025-04-26 00:00:00,https://ev.delhitransport.in/static/logo/revos.png,unstaffed,UPI,"[""+919818512557""]",charging,110075,south-west-delhi,,1.0,3.3,₹0 per unit,AC,1.0,5A/15A Socket,"['2W', '3W']",0 days 00:00:00
REVBOLT_00022092,REVOS,REVOS,Dwarka sector 12,28.59593802794028,77.04694211483002,New Delhi,India,2025-04-26 00:00:00,2025-04-26 00:00:00,https://ev.delhitransport.in/static/logo/revos.png,unstaffed,UPI,"[""+919818512557""]",charging,110078,west-delhi,,1.0,3.3,₹0 per unit,AC,1.0,5A/15A Socket,"['2W', '3W']",0 days 00:00:00
REVBOLT_00021848,REVOS,REVOS,Rohini sector 22 lakhiram park Delhi,28.7132621627819,77.0605717599392,New Delhi,India,2025-04-26 00:00:00,2025-04-26 00:00:00,https://ev.delhitransport.in/static/logo/revos.png,unstaffed,UPI,"[""+919717578350""]",charging,110086,north-west-delhi,,1.0,3.3,₹0 per unit,AC,1.0,5A/15A Socket,"['2W', '3W']",0 days 00:00:00
REVBOLT_003470,REVOS,REVOS,Delhi,28.568917,77.186861,New Delhi,India,2025-04-26 00:00:00,2025-04-26 00:00:00,https://ev.delhitransport.in/static/logo/revos.png,unstaffed,UPI,"[""+919177601111""]",charging,110066,south-west-delhi,,1.0,3.3,₹0 per unit,AC,1.0,5A/15A Socket,"['2W', '3W']",0 days 00:00:00
REVBOLT_003554,REVOS,REVOS,Delhi,28.568917,77.186861,New Delhi,India,2025-04-26 00:00:00,2025-04-26 00:00:00,https://ev.delhitransport.in/static/logo/revos.png,unstaffed,UPI,"[""+919177601111""]",charging,110066,south-west-delhi,,1.0,3.3,₹0 per unit,AC,1.0,5A/15A Socket,"['2W', '3W']",0 days 00:00:00
REVBOLT_00023497,REVOS,REVOS,kh no 12/21 khanjhwaala road begum pur main bus stand delhi,28.72187126595003,77.06489112228155,New Delhi,India,2025-04-26 00:00:00,2025-04-26 00:00:00,https://ev.delhitransport.in/static/logo/revos.png,unstaffed,UPI,"[""+919250905230""]",charging,110086,north-west-delhi,,1.0,3.3,₹0 per unit,AC,1.0,5A/15A Socket,"['2W', '3W']",0 days 00:00:00
REVBOLT_00022029,REVOS,REVOS,kh12/21 mani kanjahwala road main bus stand bagampul,28.72186362130791,77.06491693854332,New Delhi,India,2025-04-26 00:00:00,2025-04-26 00:00:00,https://ev.delhitransport.in/static/logo/revos.png,unstaffed,UPI,"[""+919250905230""]",charging,110086,north-west-delhi,,1.0,3.3,₹0 per unit,AC,1.0,5A/15A Socket,"['2W', '3W']",0 days 00:00:00
REVBOLT_00021357,REVOS,REVOS,328 LADO SARAI,28.52417243459164,77.19037994742393,New Delhi,India,2025-04-26 00:00:00,2025-04-26 00:00:00,https://ev.delhitransport.in/static/logo/revos.png,unstaffed,UPI,"[""+919999961622""]",charging,110030,south-west-delhi,,1.0,3.3,₹0 per unit,AC,1.0,5A/15A Socket,"['2W', '3W']",0 days 00:00:00
REVBOLT_004166,REVOS,REVOS,Delhi,28.568917,77.186861,New Delhi,India,2025-04-26 00:00:00,2025-04-26 00:00:00,https://ev.delhitransport.in/static/logo/revos.png,unstaffed,UPI,"[""+919177601111""]",charging,110066,south-west-delhi,,1.0,3.3,₹0 per unit,AC,1.0,5A/15A Socket,"['2W', '3W']",0 days 00:00:00
REVBOLT_00021476,REVOS,REVOS,328 Lado Sarai,28.52422928829974,77.19036083668469,New Delhi,India,2025-04-26 00:00:00,2025-04-26 00:00:00,https://ev.delhitransport.in/static/logo/revos.png,unstaffed,UPI,"[""+919999961622""]",charging,110030,south-west-delhi,,1.0,3.3,₹0 per unit,AC,1.0,5A/15A Socket,"['2W', '3W']",0 days 00:00:00
REVBOLT_00021935,REVOS,REVOS,"Sector-12, Plot-14,Dwarka",28.59595539624726,77.04625379294157,New Delhi,India,2025-04-26 00:00:00,2025-04-26 00:00:00,https://ev.delhitransport.in/static/logo/revos.png,unstaffed,UPI,"[""+919560324211""]",charging,110075,south-west-delhi,,1.0,3.3,₹0 per unit,AC,1.0,5A/15A Socket,"['2W', '3W']",0 days 00:00:00
REVBOLT_00021060,REVOS,REVOS,37 Peer baba colony jaitpur,28.50927246597707,77.32835344970226,New Delhi,India,2025-04-26 00:00:00,2025-04-26 00:00:00,https://ev.delhitransport.in/static/logo/revos.png,unstaffed,UPI,"[""+919990218664""]",charging,110044,south-delhi,,1.0,3.3,₹0 per unit,AC,1.0,5A/15A Socket,"['2W', '3W']",0 days 00:00:00
REVBOLT_00023617,REVOS,REVOS,9015029628,28.5082893127752,77.33421072363853,New Delhi,India,2025-04-26 00:00:00,2025-04-26 00:00:00,https://ev.delhitransport.in/static/logo/revos.png,unstaffed,UPI,"[""+919958713449""]",charging,110044,south-delhi,,1.0,3.3,₹0 per unit,AC,1.0,5A/15A Socket,"['2W', '3W']",0 days 00:00:00
REVBOLT_004167,REVOS,REVOS,Delhi,28.704776,77.181167,New Delhi,India,2025-04-26 00:00:00,2025-04-26 00:00:00,https://ev.delhitransport.in/static/logo/revos.png,unstaffed,UPI,"[""+919177601111""]",charging,110009,north-west-delhi,,1.0,3.3,₹0 per unit,AC,1.0,5A/15A Socket,"['2W', '3W']",0 days 00:00:00
REVBOLT_00021137,REVOS,REVOS,H.no1419 vpo karala near mcd dispencry,28.7311961370238,77.03803215175869,New Delhi,India,2025-04-26 00:00:00,2025-04-26 00:00:00,https://ev.delhitransport.in/static/logo/revos.png,unstaffed,UPI,"[""+919582133833""]",charging,110081,north-west-delhi,,1.0,3.3,₹0 per unit,AC,1.0,5A/15A Socket,"['2W', '3W']",0 days 00:00:00
REVBOLT_00018970,REVOS,REVOS,H.no1419vpo karala near mcd dispencry,28.73119701901918,77.0380324870348,New Delhi,India,2025-04-26 00:00:00,2025-04-26 00:00:00,https://ev.delhitransport.in/static/logo/revos.png,unstaffed,UPI,"[""+919582133833""]",charging,110081,north-west-delhi,,1.0,3.3,₹0 per unit,AC,1.0,5A/15A Socket,"['2W', '3W']",0 days 00:00:00
REVBOLT_00023615,REVOS,REVOS,G8 jaitpur part 2 khada calony ,28.50831818584971,77.33420737087727,New Delhi,India,2025-04-26 00:00:00,2025-04-26 00:00:00,https://ev.delhitransport.in/static/logo/revos.png,unstaffed,UPI,"[""+919958783449""]",charging,110044,south-delhi,,1.0,3.3,₹0 per unit,AC,1.0,5A/15A Socket,"['2W', '3W']",0 days 00:00:00
REVBOLT_00019822,REVOS,REVOS,37 peer baba jaitpur,28.50946573685033,77.32848554849625,New Delhi,India,2025-04-26 00:00:00,2025-04-26 00:00:00,https://ev.delhitransport.in/static/logo/revos.png,unstaffed,UPI,"[""+919990121866""]",charging,110044,south-delhi,,1.0,3.3,₹0 per unit,AC,1.0,5A/15A Socket,"['2W', '3W']",0 days 00:00:00
REVBOLT_004168,REVOS,REVOS,Delhi,28.704776,77.181167,New Delhi,India,2025-04-26 00:00:00,2025-04-26 00:00:00,https://ev.delhitransport.in/static/logo/revos.png,unstaffed,UPI,"[""+919177601111""]",charging,110009,north-west-delhi,,1.0,3.3,₹0 per unit,AC,1.0,5A/15A Socket,"['2W', '3W']",0 days 00:00:00
REVBOLT_004169,REVOS,REVOS,Delhi,28.704776,77.181167,New Delhi,India,2025-04-26 00:00:00,2025-04-26 00:00:00,https://ev.delhitransport.in/static/logo/revos.png,unstaffed,UPI,"[""+919177601111""]",charging,110009,north-west-delhi,,1.0,3.3,₹0 per unit,AC,1.0,5A/15A Socket,"['2W', '3W']",0 days 00:00:00
REVBOLT_004170,REVOS,REVOS,Delhi,28.704776,77.181167,New Delhi,India,2025-04-26 00:00:00,2025-04-26 00:00:00,https://ev.delhitransport.in/static/logo/revos.png,unstaffed,UPI,"[""+919177601111""]",charging,110009,north-west-delhi,,1.0,3.3,₹0 per unit,AC,1.0,5A/15A Socket,"['2W', '3W']",0 days 00:00:00
